Algorithm,Scenario,Perc,Chunk,Accuracy,Precision,Recall,F1_Macro,Kappa,Time_s,Predictions_OK
OSNN,chunks_scenario_1,75,3,0.52443857331572,0.3266670043447918,0.4773587600885651,0.3878290334849765,0.212708977925691,98.74611139297484,True
OSNN,chunks_scenario_1,75,4,0.5203574975173784,0.3287627325144857,0.4578947368421053,0.3801401863741441,0.1886347712941647,105.81925249099731,True
OSNN,chunks_scenario_1,75,5,0.5116279069767442,0.3271141543138376,0.4446917610591746,0.3720083867120626,0.1672966029493517,144.9186351299286,True
OSNN,chunks_scenario_1,75,6,0.5203308063404548,0.340077502049333,0.450210295598602,0.3802230375108541,0.1780482087744658,166.26255297660828,True
OSNN,chunks_scenario_1,75,7,0.5096269554753309,0.3348599485283119,0.4405558760315439,0.3715045135229136,0.1600647377624545,202.6801602840424,True
OSNN,chunks_scenario_1,75,8,0.5016268980477223,0.3234890577003605,0.4369070222072205,0.3664336835468602,0.1499985454078525,221.8553197383881,True
OSNN,chunks_scenario_1,75,9,0.4877344877344877,0.3105222013758599,0.4232663191207175,0.3532335560832827,0.1319047882294407,240.8960392475128,True
HAT,chunks_scenario_2,100,1,0.8352601156069365,0.8328562909958258,0.8424546944283787,0.8251540837915834,0.7500887019108926,0.0270030498504638,True
HAT,chunks_scenario_2,100,10,0.8296344647519582,0.8132769885905645,0.8203574720749703,0.8145932266501466,0.7353912513777157,4.475968360900879,True
HAT,chunks_scenario_2,100,2,0.8002894356005789,0.7915775106940396,0.8104481188593339,0.7906052416941911,0.696077868930832,0.4958031177520752,True
HAT,chunks_scenario_2,100,3,0.7950664136622391,0.7844028363806844,0.7868729817333312,0.7830510459810543,0.6853209487477194,1.0176613330841064,True
HAT,chunks_scenario_2,100,4,0.7919161676646707,0.7761559684572653,0.78661188240098,0.7781398219043284,0.6799111975234589,1.547586441040039,True
HAT,chunks_scenario_2,100,5,0.8114143920595533,0.7834256074193854,0.8023796324241385,0.7885283469085844,0.7045502640398733,2.0836753845214844,True
HAT,chunks_scenario_2,100,6,0.8085106382978723,0.7937128503999745,0.8039339461457842,0.795876739574375,0.7072540486824719,2.5593373775482178,True
HAT,chunks_scenario_2,100,7,0.8177634606534745,0.800214622088403,0.8081695527824535,0.8028546351802476,0.7198235148749376,3.029472827911377,True
HAT,chunks_scenario_2,100,8,0.8200953137410644,0.8003595712827662,0.8092026485145721,0.8029126598836664,0.7217809857062785,3.531174898147583,True
HAT,chunks_scenario_2,100,9,0.831021897810219,0.8128334347368407,0.8202152661959102,0.8149703353442145,0.7370897584127982,4.002968311309815,True
OzaBoostADWIN,chunks_scenario_2,100,1,0.838150289017341,0.839847941383856,0.8428041256988625,0.8285487272712145,0.7540804670643483,0.4637601375579834,True
